key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
SUBCLASS2,"Time to specialize, because you are special!",Ein besonderer Gegenstand für meinen besonderen Kunden.,选一个特长吧，因为你很特别！,"さあ、特別になる時が来たよ。
だってキミは特別だからね！","특별한 여러분이, 전문가가 될 시간이 왔습니다!",選一個特長吧，因為你很獨特！,"Il est temps de vous spécialiser, car vous êtes spécial(e), après tout !",Пора выбрать специализацию. Специализация доступна только специальным покупателям!,"É hora de se especializar, porque você é especial!",¡Eres tan especial que te toca especializarte!
SUBCLASS1,The specialest of offers! Choose a subclass!,Eines meiner besondersten Angebote! Wähle eine Subklasse!,选择你的特长！,"超特別な商品だよ！
さあ、サブクラスを選んで！",특별한 제안입니다! 보조 직업을 선택하세요!,選擇你的特長！,La plus spéciale des offres ! Choisissez une sous-classe !,Время выбрать судьбу!,A mais especial das ofertas! Escolha uma subclasse!,¡La más especial de las ofertas! ¡Elige una subclase!
"<!MissingKey:2:$h[Left click and drag] to select multiple bags, $h[Right click and drag] to select items inside bags.>","$h[Left click and drag] to select multiple bags, $h[Right click and drag] to select items inside bags.",Ziehe eine Box mit $h[Linksklick] um mehrere Taschen aufzuheben und mit $h[Rechtsklick] für Gegenstände in Taschen.,$h[鼠标左键点击并拖拽]来选择多个背包，$h[鼠标右键点击并拖拽]来选择背包内物品。,$h[左クリックとドラッグ]で複数のバッグを選択できて、$h[右クリックとドラッグ]でバッグ内のアイテムを選択できるんだ。,"$h[좌클릭 후 드래그]를 통해 여러 개의 가방을, $h[우클릭 후 드래그]를 통해 가방 안의 아이템을 선택할 수 있습니다.",$h[滑鼠左鍵點擊並拖拽]來選擇多個背包，$h[滑鼠右鍵點擊並拖拽]來選擇背包內物品。,"$h[Effectuez un clic gauche et faites glisser] pour choisir plusieurs sacs, $h[Effectuez un clic droit et faites glisser] pour choisir des objets à l'intérieur des sacs..",$h[Зажатие ЛКМ и перемещение курсора] выберет сразу несколько сумок. $h[Зажатие ПКМ и перемещение курсора] выберет предметы внутри сумок.,"$h[Clique esquerdo e arraste] para selecionar várias bolsas, $h[clique com o botão direito e arraste] para selecionar itens dentro das bolsas.","$h[Clic izquierdo y arrastra] para seleccionar varias bolsas, $h[clic derecho y arrastra] para seleccionar objetos dentro de las bolsas."
BUY_NORMAL3,"It looks simple, but it gets the job done!","Sieht simpel aus, ist aber sehr wirkungsvoll.",看起来不咋样，但好使。,"つまらなく見えるかもだけど、
効果はバッチリだよ！","단순해 보이지만, 효과는 확실합니다!",看起來不怎麼樣，但實用。,"Ça n'a pas l'air de grand-chose, mais c'est très efficace !","Выглядит не особо, но отлично справляется со своей задачей.","Parece simples, mas cumpre sua função!","Parece simple, pero da buenos resultados."
BUY_NORMAL2,You don’t want to know where I got that from.,Du willst nicht wissen wo ich das her habe.,你不会想知道我从哪里搞来的这个。,これの仕入れ先、キミは知りたくないと思うな。,어디서 났는지는 모르시는 편이 좋을 겁니다.,買就對了，別問東西是從哪裡來的。,Vous ne voulez pas savoir d'où je tiens ça.,"Вам лучше не знать, откуда это у меня.",Não queira saber onde eu arranjei isso.,No quieres saber de dónde lo he sacado.
BUY_NORMAL1,A $item! Great choice!,"Oh, $item! Immer eine gute Wahl!",一个 $item！好眼力！,$itemを買うとはお目が高いや！,$item! 보는 눈이 있으시네요!,$item！好眼力！,Un(e) $item ! Excellent choix !,$item! Достойный выбор!,Faz bem em escolher $item!,¡$item! ¡Qué buena elección!
BUY_NORMAL7,Everyone should have a $item. Or two!,Jeder sollte ein $item haben. Oder zwei!,$item是居家旅行的必备物品！,"$itemは1つ持っておきたいよね。
2つでもいいよ！",모름지기 $item 한두개는 있어야죠.,$item是居家旅行的必備物品！,Tout le monde devrait avoir un(e) $item. Ou deux !,"$item? Отличный выбор, вещица просто незаменимая!",$item nunca é de mais!,No podría vivir sin mi $item. ¡O igual sí!
BUY_NORMAL6,May it serve you well.,Soll es dir von Nutzen sein.,希望这个东西能帮到你。,それがキミの役に立ちますように。,도움이 됐으면 좋겠네요.,希望這個東西能幫到你。,En espérant que ça vous soit utile.,Приятного использования.,Faça bom proveito!,Espero que te sea útil.
BUY_NORMAL5,"Great, something else for you?","Sehr schön, darf es noch etwas sein?",感谢惠顾，还买点什么其他的不？,毎度あり。他にもどう？,"감사합니다, 다른 건 필요 없으신가요?",感謝惠顧，還要買點什麼其他的東西嗎？,"Très bien, il vous fallait autre chose ?","Отлично, что-нибудь еще?","Ótimo, mais alguma coisa?","Perfecto, ¿quieres algo más?"
BUY_NORMAL4,Only the best for my favorite customer!,Nur das beste für meinen liebsten Kunden!,我这里件件好货！,お得意さんにしか売らない高級品さ！,최고의 손님만을 위한 최고의 상품입니다!,我這裡件件都是好貨！,Je ne propose que ce qu'il y a de mieux pour mes clients préférés !,Только лучшее для моего любимого покупателя!,Só o melhor para a minha cliente favorita!,¡Solo lo mejor para mis mejores clientes!
