key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:0:Alt>,Alt,Alt,Alt,Altキー,Alt,Alt,Alt,Alt,Alt,Alt
<!MissingKey:1:Nullified {amount}{debuff}>,Nullified {amount}{debuff},{amount}{debuff} neutralisiert.,{amount}{debuff}无效,{amount} {debuff} 獲得阻害,{amount}{debuff} 무효화,{amount}層{debuff}無效,{amount} {debuff} annulé(s),Снят эффект: {amount} {debuff},Anulou {amount} {debuff},Has anulado {amount} {debuff}
<!MissingKey:2:Shift inventory down>,Shift inventory down,Inventar nach unten,向下移动背包,バッグを下へ移動,아래쪽으로 인벤토리 이동,向下移動背包,Décaler l'inventaire vers le bas,Сместить инвентарь вниз,Mover inventário para baixo,Mover inventario (abajo)
<!MissingKey:3:{amount} {debuff} resisted ({origin}).>,{amount} {debuff} resisted ({origin}).,{amount} {debuff} vermieden ({origin}).,{amount} {debuff}被抵挡（{origin}）。,{amount} {debuff} が無効化された（{origin}）。,{amount} {debuff} 저항당함 ({origin}).,{amount} {debuff}被抵擋（{origin}）。,{amount} {debuff} résisté(s) ({origin}).,Проигнорировано: {amount} {debuff} ({origin}).,Resistiu a {amount} {debuff} ({origin}).,Has resistido {amount} {debuff} ({origin}).
<!MissingKey:4:Fatigue sets in...>,Fatigue sets in...,Erschöpfung setzt ein...,开始感觉疲惫……,疲労がたまってきた…,피로가 몰려옵니다...,開始感到疲勞……,Début de la fatigue dans…,Истощение активируется через...,Bate o cansaço...,La fatiga empieza en...
<!MissingKey:5:Stamina Usage>,Stamina Usage,Ausdauer- verbrauch ,耐力消耗,スタミナ消費,스태미나 사용량,耐力消耗,Utilisation d'endurance,Расход энергии,Gasto de vigor,Consumo de resistencia
<!MissingKey:6:Perfect Survival Bonus!>,Perfect Survival Bonus!,Perfekter Survival-Bonus!,完美生存奖励！,完全サバイバルボーナス！,퍼펙트 서바이벌 보너스!,完美生存獎勵！,Bonus de survie parfaite !,Бонус идеального выживания!,Bônus de sobrevivência perfeita!,¡Bonus de supervivencia perfecta!
<!MissingKey:7:Comma>,Comma,Komma,逗号键,"[,]キー",쉼표,逗号键,Virgule,",",Vírgula,Coma
<!MissingKey:8:Acquired>,Acquired,Erhalten,获得次数,入手した回数,구매한 횟수,获得次数,Obtenu(s),Кол-во получений,Adquirido,Adquirido
<!MissingKey:9:MB4>,MB4,Maustaste 4,鼠标键4,第4マウスボタン,마우스 버튼 4,鼠标键4,Clic latéral haut,Кнопка мыши - 4,Botão do mouse 4,Clic 4 (ratón)
<!MissingKey:10:Options>,Options,Optionen,选项,オプション,설정,選項,Options,Настройки,Opções,Opciones
<!MissingKey:11:MB5>,MB5,Maustaste 5,鼠标键5,第5マウスボタン,마우스 버튼 5,鼠标键5,Clic latéral bas,Кнопка мыши - 5,Botão do mouse 5,Clic 5 (ratón)
<!MissingKey:12:Start Survival Mode: >,"Start Survival Mode:
 Survive {rounds} Rounds ({roundsLeft} left) ","Survival-Modus:
 Überlebe {rounds} Runden ({roundsLeft} übrig)  ","开始生存模式：
 生存{rounds}回合 剩下（{roundsLeft}回合）","サバイバルモード開始：
 {rounds}ラウンド生き延びる（残り{roundsLeft}）","서바이벌 모드 시작:
{rounds} 라운드 동안 생존하세요 ({roundsLeft} 남음)","開始生存模式：
生存{rounds}回合（剩下{roundsLeft}回合）","Commencer le mode survie :
 survivez à {rounds} tours ({roundsLeft} restants)","Начать режим выживания:
 Всего раундов - {rounds} (осталось: {roundsLeft})","Iniciar modo de sobrevivência:
 Sobreviva {rounds} rodadas (restam: {roundsLeft})","Empezar Modo superviviencia:
 Sobrevive {rounds} rondas (quedan: {roundsLeft})"
<!MissingKey:13:Game over>,Game over,Spiel vorbei,失败！,ゲームオーバー,게임 오버,遊戲失敗！,Partie perdue,Вы проиграли,Fim da partida,Fin de la partida
<!MissingKey:14:Resume>,Resume,Fortsetzen,继续,再開,계속하기,繼續,Reprendre,Продолжить,Retomar,Reanudar
<!MissingKey:15:Input>,Input,Eingabe,键位设置,操作設定,입력,輸入,Contrôles,Назначение клавиш,Entrada,Ajuste de teclas
<!MissingKey:16:Removed {stamina} stamina ({origin}).>,Removed {stamina} stamina ({origin}).,{stamina} Ausdauer entfernt ({origin}).,消耗{stamina}点耐力（{origin}）。,スタミナを{stamina}除去した（{origin}）。,{stamina} 스태미나 흡수 ({origin}).,消耗{stamina}點耐力（{origin}）。,{stamina} d'endurance retirés ({origin}).,Отнимает {stamina} ед. энергии ({origin}).,Diminuiu {stamina} de vigor ({origin}).,Has quitado {stamina} de resistencia ({origin}).
<!MissingKey:17:Lobby found.>,Lobby found.,Lobby gefunden.,找到大厅。,ロビーが見つかりました。,로비를 발견했습니다.,找到大廳。,Salle trouvée.,Комната найдена.,Salão encontrado.,Sala encontrada.
<!MissingKey:18:Gated by>,Gated by,Voraussetzung,获得前提,前提アイテム,"필요한
특수 아이템",獲得前提,Associé(s) à,Необходимо,Restringido por,Bloqueado por
<!MissingKey:19:Elimination>,Elimination,Eliminierung,歼灭,勝ち抜き,배제,殲滅,Élimination,Выбывание,Eliminação,Eliminación
<!MissingKey:20:Are you sure?>,Are you sure?,Bist du sicher?,是否确认？,本当に実行しますか？,정말 추방하시겠습니까?,是否確認？,Confirmer ?,Вы уверены?,Você tem certeza?,¿Seguro?
<!MissingKey:21:Pick items>,Pick items,Gegenstände greifen,捡起物品,アイテムをつかむ,아이템 집기,撿起物品,Prendre les objets,Взять предметы,Pegar itens,Elegir objetos
<!MissingKey:22:Character Name>,Character Name,Charaktername,角色姓名,キャラの名前,캐릭터 이름,角色名稱,Nom de personnage,Имя персонажа,Nome do Personagem,Nombre del personaje
