key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
"<!MissingKey:0:It might be unusual to worship an armor, but I don't judge.>","It might be unusual to worship an armor, but I don't judge.","Es klingt vielleicht unüblich eine Rüstung anzubeten, aber ich verurteile da niemanden.",崇拜一个护甲有点奇怪，但我不会去说你什么。,鎧をあがめるなんて普通じゃない気がするけど、まあ、とやかくは言わないよ。,"갑옷을 숭배하는 건 드문 일이겠지만, 제가 신경쓸 바는 아니네요.",崇拜護甲這種事有點奇怪，但我也不方便說什麼。,"C'est peut-être inhabituel de vouer un culte à une armure, mais je ne juge personne.","Поклоняться доспехам, конечно, странно... но кто я, чтобы осуждать?","Pode até ser estranho cultuar uma armadura, mas eu não julgo.","Hay quien decide adorar a una armadura, y yo no soy quien para juzgar."
"<!MissingKey:1:A comfortable way to contain your belongings, and your rage.>","A comfortable way to contain your belongings, and your rage.","Hält all deine Sachen und deine innere Wut, sehr praktisch!",里面有各种道具，还有愤怒。,自分の持ちものと、怒りさえもつめこむのにちょうどいいバッグだよ。,여러분의 소지품과 분노를 담아두기에 아주 좋은 가방입니다.,裏面有各種道具，還有憤怒。,Un moyen confortable de conserver vos biens et votre rage.,Удобная сумка для хранения вещей и ярости.,Um jeito confortável de guardar seus pertences e sua raiva.,Una forma cómoda de contener tus posesiones... y tu ira asesina.
"<!MissingKey:2:Anyone can cook, but only the fearless can be great. >","Anyone can cook, but only the fearless can be great. ","Jeder kann kochen, doch nur die Furchtlosen können großartig sein!",鼠大厨的烹饪技术人尽皆知！,誰にでも料理はできる。だが、勇気のあるものだけが一流になれるのだ。,"누구나 요리는 할 수 있지만, 용감한 쥐만이 최고의 요리사가 될 수 있습니다.",鼠大廚的烹飪技術人盡皆知！,"Tout le monde peut cuisiner, mais seuls les plus audacieux atteindront l'excellence.","Готовить может каждый, но лишь бесстрашный станет истинным мастером на кухне.","Qualquer um pode cozinhar, mas só os destemidos podem ser grandiosos.","Cualquiera puede cocinar, pero solo los valientes llegan a lo más alto."
<!MissingKey:3:This happens when you load all your bad emotions onto your plushies. >,This happens when you load all your bad emotions onto your plushies. ,Irgendwo müssen die ganzen negativen Emotionen ja hin.,吸收了负面情绪的毛绒玩具就变成了这样。,自分の負の感情を全部ぬいぐるみに流しこむと、こうなっちゃうんだ。,여러분이 지닌 모든 부정적인 감정을 인형에 담으면 완성됩니다.,吸收了負面情緒的毛絨玩具就變成了這樣。,Voilà ce qui arrive lorsque vous chargez vos peluches de toutes vos émotions négatives.,Не стоило переносить все свои плохие эмоции на плюшевую игрушку...,É isto que acontece quando descontamos todas as emoções ruins nos bonecos.,Esto es lo que pasa cuando le cuentas todas tus penas a tu pobre peluche.
<!MissingKey:4:If you push $h[all] the buttons you can never be wrong.>,If you push $h[all] the buttons you can never be wrong.,"Drückt man alle Knöpfe, liegt man nie verkehrt!",不会用的话就把$h[所有]按键都按一遍。,$h[全部]のボタンを押しちゃえば、間違うことは絶対ないよね。,버튼을 $h[전부] 누르면 잘못될 일은 없겠죠.,不會用的話就把$h[所有]按鍵都按一遍。,"En appuyant sur $h[tous] les boutons, on peut rarement se tromper.","Если нажать $h[все] кнопки, ты не сможешь ошибиться.","Se você apertar $h[todos] os botões, nunca estará errado.","Si aprietas $h[todos] los botones, nunca la pifias."
<!MissingKey:5:Dragon eggs are well protected by a thick layer of calcium carbonate and a huge dragon sitting on it.>,Dragon eggs are well protected by a thick layer of calcium carbonate and a huge dragon sitting on it.,"Dracheneier sind gut geschützt durch eine dicke Schicht Calciumcarbonat und einen großen Drachen, der darauf sitzt.",龙蛋被一层厚厚的碳酸钙保护得很好，上面还坐着一只大龙呢。,ドラゴンのタマゴは分厚い炭酸カルシウムの層で守られてるから、上にデカいドラゴンが座っても平気なんだよ。,"용의 알은 두꺼운 탄산칼슘 껍질과, 그 위에 앉아있는 거대한 용에 의해 보호됩니다.",龍蛋被一層厚厚的碳酸鈣保護得很好，上面還坐著一只大龍呢。,Les œufs de dragon sont bien protégés par une épaisse couche de carbonate de calcium et un énorme dragon assis dessus.,Яйцо дракона надежно защищено толстым слоем карбоната кальция и сидящим на нем огромным драконом.,Os ovos de dragão são protegidos por uma camada espessa de carbonato de cálcio e um dragão imenso sentado sobre eles.,Los huevos de dragón están protegidos por una gruesa capa de carbonato cálcico... y por el dragón que tienen encima.
"<!MissingKey:6:It's so much more chunky now, amazing!>","It's so much more chunky now, amazing!","Wundervoll, es ist jetzt viel stückiger!",是不是感觉自己坚不可摧了！,"かゆい
はだ",훨씬 더 덩어리 진 포션이 됐네요!,是不是感覺自己堅不可摧了？,"Voilà, elle est tellement plus épaisse maintenant, c'est incroyable !","Теперь оно защищает еще сильнее, потрясающе!","Uau, está muito mais espessa agora!",¡Ahora con más grumitos!
"<!MissingKey:7:Actually, broccoli is a natural part of their diet.>","Actually, broccoli is a natural part of their diet.",Tatsächlich essen sie auch gern Brokkoli.,它吃西兰花，你敢信吗？,実は、ブロッコリーを食べるのはこの子たちの自然な習性なのさ。,매일 브로콜리를 먹는다고 하네요.,它吃西蘭花，你敢信嗎？,"Le brocoli fait naturellement partie de leur régime alimentaire, si si.","Не исключено, что он зеленый, потому что его мама любила есть брокколи.","Na verdade, os brócolis fazem parte da alimentação deles naturalmente.",El brócoli es una parte esencial de su dieta.
"<!MissingKey:8:If you tickle them the claws pop out. Cool, huh?>","If you tickle them the claws pop out. Cool, huh?","Kitzel sie und die Klauen kommen raus, so cool!",只要你挠挠爪子就会伸出来，厉害吧？,ちょっと突っつくと、ビュッとツメが飛び出るんだ。カッコいいでしょ？,간지럽히면 발톱이 튀어나온답니다. 멋지지 않나요?,只要你搔癢，爪子就會伸出來，厲害吧？,"Si vous les chatouillez, les griffes sortent. C'est cool, nan ?","Если пощекотать, покажутся коготки. Круто, да?","As garras aparecem quando fazemos cócegas nelas. Legal, né?",Sacan las garras cuando les haces cosquillas. ¿A que están bien?
"<!MissingKey:9:It's said to counteract poison, but it's also suspiciously green. So I really don't know who to trust with that.>","It's said to counteract poison, but it's also suspiciously green. So I really don't know who to trust with that.","Man sagt, ein Smaragd schützt vor Gift, aber andererseits hat er diese komische grüne Farbe. Also keine Ahnung.",有人说可以解毒，但是这玩意绿得可疑。我都不知道信谁的。,解毒効果があるって言われる宝石だけど、それにしちゃ毒々しい緑だよね。そんな迷信、誰が信じるんだか。,"독을 중화시킨다는 말도 있지만, 너무 수상쩍은 녹색이네요. 뭘 믿어야 할지 모르겠습니다.",有人說可以解毒，但是這玩意綠得可疑。我都不知道信誰的。,"On raconte qu'elle permet de neutraliser le poison, mais elle a aussi une couleur verte suspecte. Je ne sais pas à qui faire confiance.","Говорят, что он нейтрализует яды, но он и сам подозрительно зеленый. Даже не знаю, чему доверять.","Dizem que ela neutralize veneno, mas também tem uma cor verde suspeita. Não sei se confio.","Se dice que puede frenar el veneno, pero tiene un color verde muy sospechoso, así que no sabría qué decirte."
