key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:0:Shell Totem>,Shell Totem,Muscheltotem,贝壳图腾,殻のトーテム,조개 토템,貝殼圖騰,Totem aux coquillages,Тотем с ракушками,Totem de Conchas,Tótem de caparazón
<!MissingKey:1:Bagtacular>,Bagtacular,Tolle Taschen,背包盛宴,バッグり仰天,백-퍼센트 만족,背包盛宴,Sactaculaire,Сумкакуляр,Bolstacular,Esbolsacular
<!MissingKey:2:$t[Start of battle:] Gain $h[1] $regen for each \~$affected $h[Food]. $t[Every $cds:] Regenerate $p_stamina stamina and gain $p_empower $empower. >,"$t[Start of battle:] Gain $h[1] $regen for each \~$affected $h[Food]. $t[Every $cds:] Regenerate $p_stamina stamina and gain $p_empower $empower. 

 Triggers $p1% faster for each $affected $h[Pet] or $h[Food].","$t[Kampfbeginn:] Erhalte $h[1] $regen für jedes $affected $h[Essen]. $t[Alle $cds:] Regeneriere $p_stamina Ausdauer und erhalte $p_empower $empower. 

 Aktiviert $p1% schneller pro \~$affected $h[Gefährte] und $h[Essen].","$t[战斗开始时：]每有一个$affected的$h[食物]，获得$h[1]层$regen。$t[每$cds：]恢复$p_stamina点耐力并获得$p_empower层$empower。

每有一个$affected的$h[宠物]或者$h[食物]，鼠大厨的效果触发快$p1%。","$t[バトル開始時：]$affectedにある$h[食べ物]1個につき$h[1] $regen を獲得する $t[$cd秒毎：]スタミナを$p_stamina回復し、$p_empower $empower を獲得する 

$affectedにある$h[ペット]または$h[食べ物]1つにつき使用速度が$p1%上がる","$t[전투 시작 시:] $affected에 위치한 $h[음식]마다 $regen을 $h[1] 획득합니다. $t[$cd초마다:] 스태미나를 $p_stamina 회복하고, $empower를 $p_empower 획득합니다.

$affected에 위치한 $h[펫]이나 $h[음식]마다 $p1% 빠르게 발동합니다.","$t[戰鬥開始時：]每有一個$affected的$h[食物]，獲得$h[1]層$regen。$t[每$cd秒：]恢復$p_stamina點耐力並獲得$p_empower層$empower。

每有一個$affected的$h[寵物]或者$h[食物]，鼠大廚的效果觸發快$p1%。","$t[Au début du combat :] Gagnez $h[1] $regen pour chaque $h[Nourriture] $affected. $t[Toutes les $cd s :] régénérez de l'endurance $p_stamina et gagnez $p_empower de $empower. 

 Se déclenche $p1 % plus vite pour chaque $h[Familier] ou $h[Nourriture] $affected.","$t[Начало боя:] добавляет $h[1] $regen за каждый $affected предмет типа $h[еда]. $t[Раз в $cd сек.:] восстанавливает $p_stamina энергии и добавляет $p_empower $empower. 

 Срабатывает на $p1% чаще за каждый $affected предмет типа $h[питомец] или $h[еда].","$t[Início da batalha:] Ganha $h[1] $regen para cada $h[Alimento] $affected. $t[A cada $cd s:] Regenera $p_stamina de vigor e ganha $p_empower $empower. 

 Aciona $p1% mais rápido para cada $h[Animal] ou $h[Alimento] $affected.","$t[Al comienzo de la batalla:] Obtiene $h[1] $regen por cada $h[comida] $affected. $t[Cada $cd s:] Recupera $p_stamina de resistencia y obtiene $p_empower $empower. 

 Se activa un $p1 % más rápido por cada $h[mascota] o $h[comida] $affected."
<!MissingKey:3:$t[Shop entered:] Consume $affected items. Create different items based on the combined value. $t[Every $cds:] Gain $h[1] random buff and cleanse $h[1] debuff. >,$t[Shop entered:] Consume $affected items. Create different items based on the combined value. $t[Every $cds:] Gain $h[1] random buff and cleanse $h[1] debuff. ,$t[Laden betreten:] Verbrauche $affected Gegenstände. Erzeuge verschiedene Gegenstände basierend auf dem Gegenstandswert. $t[Alle $cds:] Erhalte $h[1] zufälligen Buff und entferne $h[1] Debuff.,$t[进入商店时：]分解$affected的物品。根据分解物品的总价值生成新物品。$t[每$cds：]获得$h[1]层随机增益效果并净化$h[1]层减益效果。,$t[ショップ入店時：]$affectedにあるアイテムを消費する。その合計価値に応じて異なるアイテムを生成する $t[$cd秒毎：]$h[1]バフを獲得し、$h[1]デバフを解除する,$t[상점 진입 시:] $affected에 위치한 모든 아이템을 소모합니다. 합쳐진 가치에 따라 다른 아이템을 생성합니다. $t[$cd초마다:] 무작위 버프를 $h[1]개 획득하고 디버프를 $h[1]개 정화합니다.,$t[進入商店時：]分解$affected的物品。根據分解物品的總價值生成新物品。$t[每$cd秒：]獲得$h[1]層隨機增益效果並淨化$h[1]層減益效果。,$t[En entrant dans la boutique :] consommez les objets $affected. Créez différents objets en fonction de la valeur combinée. $t[Toutes les $cd s :] gagnez $h[1] bonus aléatoire et purgez $h[1] malus.,"$t[Переход в магазин:] поглощает все $affected предметы. Создает различные предметы, в зависимости от общей стоимости поглощенных предметов. $t[Раз в $cd сек.:] герой получает $h[1] случайное усиление или снимает $h[1] негативный эффект.",$t[Ao entrar na loja:] Consome $affected itens. Cria itens diferentes com base no valor combinado. $t[A cada $cd s:] Ganha $h[1] buff aleatório e purifica $h[1] debuff.,$t[Al entrar en la tienda:] Consume objetos $affected. Crea diferentes objetos en función del valor combinado. $t[Cada $cd s]: Obtiene $h[1] ventaja al azar y elimina $h[1] desventaja.
<!MissingKey:4:$t[You reached $p1 debuffs:] Consume this and cleanse $p2 debuffs.>,$t[You reached $p1 debuffs:] Consume this and cleanse $p2 debuffs.,$t[Wenn du mindestens $p1 Debuffs hast:] Trinke aus und entferne $p2 Debuffs.,$t[如果你的减益效果达到$p1层：]消耗此魔药并净化$p2减益效果。,$t[$p1デバフ到達時：]このアイテムを消費して、$p2デバフを解除する,"$t[디버프가 $p1개에 도달 시:] 포션을 소모해, 디버프를 $p2개 정화합니다.",$t[如果你的減益效果達到$p1層：]消耗此魔藥並淨化$p2減益效果。,$t[En atteignant $p1 malus :] consommez ceci et purgez $p2 malus.,"$t[Когда на герое не менее $p1 негативных эффектов:] расходуется, чтобы снять $p2 негативных эффектов.",$t[Você alcançou $p1 debuffs:] Consome isto e purifica $p2 debuffs.,$t[Al alcanzar $p1 desventajas:] Consume la poción y elimina $p2 desventajas.
<!MissingKey:5:Flame Whip>,Flame Whip,Flammenpeitsche,烈火之鞭,フレイムウィップ,불꽃 채찍,烈火之鞭,Fouet à flamme,Огненная плеть,Chicote de Chamas,Látigo flamígero
<!MissingKey:6:$affected items have $chance% chance to duplicate buffs they gain. $t[Every $cds:] Gain a random buff. >,"$affected items have $chance% chance to duplicate buffs they gain. $t[Every $cds:] Gain a random buff. 

 Triggers $p_speed% faster for each \~$affected2 $holy-item.","$affected Gegenstände haben $chance% Chance, erzeugte Buffs zu duplizieren. $t[Alle $cds:] Erhalte einen zufälligen Buff. 

 Aktiviert $p_speed% schneller pro \~$affected2 $holy-Gegenstand.","有$chance%的几率复制从$affected物品处获得的增益效果。$t[每$cds：]获得一层随机增益效果。

每有一个$affected2的$holy物品，双重彩虹的触发速度快$p_speed%。","$affectedにあるアイテムは$chance%の確率でバフを追加獲得する $t[$cd秒毎：]1バフを獲得する 

$affected2にある $holy アイテム1個につき使用速度が$p_speed%上がる","$affected에 위치한 아이템이 $chance%의 확률로 획득하는 버프를 복제합니다. $t[$cd초마다:] 무작위 버프를 획득합니다.

$affected2에 위치한 $holy 아이템마다 $p_speed% 빠르게 발동합니다.","有$chance%的幾率複製從$affected物品處獲得的增益效果。$t[每$cds：]獲得一層隨機增益效果。

每有一個$affected2的$holy物品，雙重彩虹的觸發速度快$p_speed%。","Les objets $affected ont $chance % de chances de dupliquer les bonus qu'ils gagnent. $t[Toutes les $cd s :] gagnez un bonus aléatoire. 

 Se déclenche $p_speed % plus vite pour chaque objet $holy.","$affected предметы получают $chance% шанс удвоить добавляемое усиление. $t[Раз в $cd сек.:] дает случайное усиление. 

 Срабатывает на $p_speed% чаще за каждый $affected2 $holy-предмет.","Os itens $affected têm $chance% de chance de duplicar os buffs que recebem. $t[A cada $cd s:] Ganha um buff aleatório. 

 Ativa $p_speed% mais rápido para cada item $affected2 $holy.","$affected objetos tienen un $chance % de probabilidad de duplicar las ventajas que reciben. $t[Cada $cd s:] ganas una ventaja al azar. 

 Se activa un $p_speed % más rápido por cada $affected2 objeto $holy."
"<!MissingKey:7:$t[On attacked ($melee):] $chance% chance to prevent $p1 damage, remove \~$p2 stamina from opponent and inflict $p3 $cold (up to $p4).>","$t[On attacked ($melee):] $chance% chance to prevent $p1 damage, remove \~$p2 stamina from opponent and inflict $p3 $cold (up to $p4).","$t[Bei $melee-Angriff:] $chance% Chance $p1 Schaden zu vermeiden, $p2 Ausdauer vom Gegner zu entfernen und $p3 $cold zu verursachen (bis zu $p4).",$t[被攻击时（$melee）：]有$chance%的几率抵挡$p1点伤害、移除对手$p2点耐力、向对手施加$p3层$cold（每场战斗最多达到$p4层）。,$t[被攻撃時（$melee）：]$chance%の確率で$p1ダメージを防ぎ、相手から$p2スタミナを除去し、$p3 $cold を付与する（最大$p4まで）,"$t[공격 받을 시 ($melee):] $chance%의 확률로 피해를 $p1 막고, 상대의 스태미나를 $p2 제거하고, $cold를 $p3 부여합니다 (전투당 최대 $p4번).",$t[被攻擊時（$melee）：]有$chance%的幾率抵擋$p1點傷害、移除對手$p2點耐力、向對手施加$p3層$cold（每場戰鬥最多達到$p4層）。,"$t[En recevant une attaque ($melee) :] $chance % de chance d'empêcher $p1 dégâts, de retirer $p2 d'endurance à l'adversaire et d'infliger $p3 $cold (jusqu'à $p4).","$t[При входящей атаке ($melee):] шанс $chance% заблокировать $p1 ед. урона, отнять у противника $p2 ед. энергии и наложить на него $p3 $cold (макс.: $p4).","$t[Ao sofrer ataque ($melee):] $chance% de chance de prevenir $p1 de dano, remover $p2 de vigor do oponente e infligir $p3 $cold (até $p4).","$t[Al recibir un ataque ($melee):] $chance % de probabilidad de evitar $p1 de daño, elimina $p2 de resistencia del rival e inflige $p3 $cold (máximo: $p4)."
<!MissingKey:8:Prismatic Sword>,Prismatic Sword,Schimmerschwert,彩虹剑,プリズムソード,프리즘 소드,彩虹劍,Épée prismatique,Радужный меч,Espada Prismática,Espada prismática
<!MissingKey:9:No Rush Please>,No Rush Please,Keine Eile,别着急,急かさないで！,천천히 합시다,別著急,Merci de ne pas presser,Никакой спешки!,"Sem Pressa, Por Favor","Sin agobios, por favor"
<!MissingKey:10:Ice Dragon>,Ice Dragon,Eisdrache,冰霜巨龙,アイスドラゴン,얼음 용,冰霜巨龍,Dragon de glace,Ледяной дракон,Dragão de Gelo,Dragón de hielo
Joker_COUNTER,"(Pairs: $pairs, triplets: $triplets, quads: $quadruples)","(Paare: $pairs, Drillinge: $triplets, Vierlinge: $quadruples)",（对子：$pairs，三条：$triplets，四条：$quadruples）,（ペアの数：$pairs、スリーカードの数：$triplets、フォーカードの数：$quadruples）,"(페어: $pairs, 트리플: $triplets, 포카드: $quadruples)",（對子：$pairs，三條：$triplets，四條：$quadruples）,"(Paires : $pairs, brelans : $triplets, carrés : $quadruples)","(Пары: $pairs, цепочки из трех: $triplets, цепочки из четырех: $quadruples)","(Pares: $pairs, trincas: $triplets, quadras: $quadruples)","(Parejas: $pairs, tríos: $triplets, cuartetos: $quadruples)"
<!MissingKey:12:Shepherd’s Crook>,Shepherd’s Crook,Hirtenstab,牧羊人的曲柄杖,羊飼いの杖,양치기의 지팡이,牧羊人的曲柄杖,Houlette de berger,Ярлыга,Bastão de Pastor,Báculo del pastor
<!MissingKey:13:Stone Armor>,Stone Armor,Steinrüstung,石制护甲,石の鎧,석재 갑옷,石製護甲,Armure de pierre,Каменный доспех,Armadura de Pedra,Armadura de piedra
<!MissingKey:14:Tusk Poker>,Tusk Poker,Stoßzahnpiekser,尖牙短弓,突きキバの短弓,상아 단궁,尖牙短弓,Pique en défense,Колющий клык,Arco de Dente,Rompecolmillos
<!MissingKey:15:King Goobert>,King Goobert,Königsschlotzbert,国王黏黏,キング・スラバート,대왕 슬돌이,國王黏呼呼,Roi Viskeu,Король Слаймер,Gosberto Real,Rey Viscosino
