key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:0:Perpetuum Mobile>,Perpetuum Mobile,Perpetuum Mobile,永动机,永久運動,영구기관,永動機,Mobile perpetuum,Вечный двигатель,Móvel Perpétuo,Móvil perpetuo
<!MissingKey:1:Black King>,Black King,Schwarzer König,黑色国王,黒のキング,블랙 킹,黑色國王,Roi noir,Темный король,Rei Preto,Rey negro
"<!MissingKey:2:$t[After $cds:] Use $p_heatt $heat to gain $p_luck $lucky \~and $block $bl. $t[Charge received:] Emit $h[2 charges], traveling $h[1]$lightning every $p3s (once). >","$t[After $cds:] Use $p_heatt $heat to gain $p_luck $lucky \~and $block $bl. $t[Charge received:] Emit $h[2 charges], traveling $h[1]$lightning every $p3s (once). 

 Items under the $h[charges] have $chance% chance to duplicate buffs they gain \~+ $chance2% per $lightning traveled.","$t[Nach $cds:] Nutze $p_heatt $heat, um $p_luck $lucky und \~$block $bl zu erhalten. $t[Ladung erhalten:] Erzeuge $h[2 Ladungen], die sich $h[1]$lightning alle $p3s bewegen (einmalig). 

 Gegenstände unter den $h[Ladungen] haben $chance% Chance Buffs zu duplizieren + $chance2% pro zurückgelegtem $lightning.","$t[$cds后：]消耗$p_heatt点$heat，获得$p_luck点$lucky和$block点$bl。$t[获得电荷时：]发射$h[2个电荷]，每$p3s移动$h[1]$lightning（单次触发）。

位于$h[电荷]上的物品在获得增益时有$chance%的几率复制，每移动1$lightning复制几率额外提高$chance2%。","$t[$cd秒後：]$p_heatt $heat を消費して、$p_luck $lucky と$block $bl を獲得する$t[通電時：]$h[電荷2つ]を放出する（1回のみ）。$h[電荷]は$p3秒ごとに $lightning $h[1]マスを移動する

$h[電荷]の下にあるアイテムは$chance%の確率でバフを追加獲得する（通過した $lightning 1マスにつき +$chance2%）","$t[$cd초 후:] $heat를 $p_heatt 사용해 $lucky을 $p_luck, $bl를 $block 획득합니다. $t[전하를 받을 시:] $p3초마다 $h[1]$lightning를 이동하는 $h[전하 2개]를 방출합니다 (한 번).

$h[전하]를 보유한 아이템이 $chance%의 확률로 획득하는 버프를 복제하고, $lightning 이동 거리마다 확률이 추가로 $chance2% 증가합니다.","$t[$cds後：]消耗$p_heatt點，$heat獲得$p_luck點$lucky和$block點$bl。$t[獲得電荷時：]發射$h[2個電荷]，每$p3s移動$h[1]$lightning（單次觸發）。

位於$h[電荷]上的物品在獲得增益時有$chance%的機率複製，每移動1$lightning複製機率額外提高$chance2%。","$t[Après $cd s :] utilisez $p_heatt $heat pour gagner $p_luck $lucky et $block $bl. $t[Charge reçue :] émettez $h[2 Charges], parcourant $h[1]$lightning toutes les $p3 s (une fois). 

 Les objets sous les $h[Charges] ont $chance % de chance de dupliquer les bonus qu'ils obtiennent +$chance2 % par $lightning parcouru.","$t[Через $cd сек.:] использует $p_heatt $heat и добавляет $p_luck $lucky и $block $bl. $t[При получении заряда:] выпускает $h[2 заряда], перемещающиеся на $h[1]$lightning каждые $p3 сек. (один раз за бой). 

 Предметы под $h[зарядом] получают шанс $chance% удвоить получаемые усиления + $chance2% за каждое перемещение на $lightning.","$t[Após $cd s:] Usa $p_heatt $heat para ganhar $p_luck $lucky e $block $bl. $t[Carga recebida:] Emite $h[2 cargas], percorrendo $h[1]$lightning a cada $p3 s (uma vez). 

 Itens abaixo das $h[cargas] têm $chance% de chance de duplicar os buffs que recebem + $chance2% de chance por $lightning percorrido.","$t[Tras $cd s:] Usa $p_heatt $heat para obtener $p_luck $lucky y $block $bl. $t[Al recibir carga:] Emite $h[2 cargas] que se trasladan $h[1]$lightning cada $p3 s (una vez). 

 Los objetos bajo las $h[cargas] tienen un $chance % de probabilidad de duplicar ventajas que obtienen + un $chance2 % por $lightning trasladado."
<!MissingKey:3:Add $h[4] backpack slots. >,"Add $h[4] backpack slots. 

 Items inside heal $p_healamp% more. $t[Start of battle:] Gain $p_maxhealth maximum health.","Füge $h[4] Rucksackplätze hinzu. 

 Gegenstände darin heilen $p_healamp% mehr. $t[Kampfbeginn:]\~ Erhalte $p_maxhealth Maximalleben.","增加$h[4]格背包槽位。

 背包内物品的生命恢复效果加强$p_healamp%。$t[战斗开始时：]获得$p_maxhealth点最大生命值。","バックパックのスロットを$h[4]追加する 

中にあるアイテムの回復量 +$p_healamp% $t[バトル開始時：]体力最大値が$p_maxhealth増える","배낭 슬롯을 $h[4]개 추가합니다.

내부에 위치한 아이템이 $p_healamp% 더 많이 치유합니다. $t[전투 시작 시:] 최대 체력을 $p_maxhealth 획득합니다.","增加$h[4]格背包槽位。

 背包內物品的生命恢復效果加強$p_healamp%。$t[戰鬥開始時：]獲得$p_maxhealth點最大生命值。","Ajoutez $h[4] emplacements de sac à dos. 

 les objets à l'intérieur guérissent $p_healamp % en plus. $t[Au début du combat :] gagnez $p_maxhealth de PV max.","Добавляет $h[4] слота к рюкзаку. 

 Предметы внутри восстанавливают на $p_healamp% больше здоровья. $t[Начало боя:] добавляет $p_maxhealth максимального здоровья.","Adiciona $h[4] espaços na mochila. 

 Itens dentro curam $p_healamp% a mais. $t[Início da batalha:] Ganha $p_maxhealth de vida máxima.","Añade $h[4] espacios a la mochila. 

 Los objetos en su interior curan un $p_healamp % más. $t[Al comienzo de la batalla:] ganas $p_maxhealth PS máx."
"<!MissingKey:4:Always choose the right shiny for the job. Not that that's interesting or anything, but chromium is the third hardest element, just after boron.>","Always choose the right shiny for the job. Not that that's interesting or anything, but chromium is the third hardest element, just after boron.",Man kann übrigens *alles* verchromen und es wird dadurch besser.,工作时一定要选对闪亮的材料。虽然听起来不太有趣，但铬是第三硬的元素，仅次于硼。,別に面白いネタじゃないけど、クロムはホウ素に次いで3番目に硬い元素なんだ。,"딱히 흥미로운 얘기는 아니지만, 크로뮴은 붕소 다음으로 세 번째로 단단한 원소입니다.",工作時一定要選對閃亮的材料。雖然聽起來不太有趣，但鉻是第三硬的元素，僅次於硼。,"Choisissez toujours ce qui brille le plus. Ce n'est peut-être pas très intéressant, mais le chrome est le troisième élément le plus dur, juste après le bore.",Всегда выбирай правильную блестяшку для дела. Хотя кому это интересно - хром вообще-то третий по твердости элемент после бора.,"Sempre escolha o brilho certo para cada trabalho. Não que isso interesse nem nada do tipo, mas crômio é o terceiro elemento mais duro, logo depois do boro.","Elige siempre el brillo adecuado para cada trabajo. No es que sea interesante, pero el cromo es el tercer elemento más duro, después del boro."
<!MissingKey:5:War Scythe>,War Scythe,Kriegssense,战镰,戦鎌,전쟁 낫,戰鐮,Faux de guerre,Боевая коса,Gadanha de Guerra,Guadaña bélica
<!MissingKey:6:Spirit Bells>,Spirit Bells,Geisterglöckchen,捕梦网,精霊のベル,영혼의 종,捕夢網,Cloches spirituelles,Ловец колокольчиков,Sinos Espirituais,Campanas espirituales
<!MissingKey:7:$t[On hit:] $chance% chance to $stun[stun] your opponent for $p1s. Use $p_manat $mana to deal \~$p_dam $effect-damage and inflict $p_blind $blind for $p5s.>,$t[On hit:] $chance% chance to $stun[stun] your opponent for $p1s. Use $p_manat $mana to deal \~$p_dam $effect-damage and inflict $p_blind $blind for $p5s.,"$t[Bei Treffer:] $chance% Chance, $p1s lang $stun[Benommenheit] auszulösen. \~Nutze $p_manat $mana, um $p_dam $effect-Schaden zu verursachen und $p5s lang $p_blind $blind zu verursachen.",$t[击中对手：]有$chance%的几率$stun[眩晕]对手，持续$p1s。消耗$p_manat点$mana，造成$p_dam点$effect伤害，并向对手施加$p_blind层$blind，持续$p5s。,$t[ヒット時：]$chance%の確率で相手を$p1秒間$stun[スタン]させる。$p_manat $mana を消費して、$p_dam $effect ダメージを与えて$p5秒間$p_blind $blind を付与する,$t[적중 시:] $chance%의 확률로 상대를 $p1초 동안 $stun[기절]시킵니다. $mana를 $p_manat 사용해 $effect 피해를 $p_dam 가하고 $p5초 동안 $blind을 $p_blind 부여합니다.,$t[擊中對手：]有$chance%的機率$stun[暈眩]對手，持續$p1s。消耗$p_manat點$mana，造成$p_dam點$effect傷害，並向對手施加$p_blind層$blind，持續$p5s。,$t[Par coup :] $chance % chance d'$stun[étourdir] votre adversaire pendant $p1 s. Utilisez $p_manat $mana pour infliger $p_dam de dégâts $effect et $p_blind $blind pendant $p5 s.,"$t[При попадании:] $chance% шанс $stun[оглушить] противника на $p1 сек. Использует $p_manat $mana, чтобы нанести $p_dam $effect-урона и накладывает на противника $p_blind $blind на $p5 сек.",$t[Ao acertar:] $chance% de chance de $stun[atordoar] o oponente por $p1 s. Usa $p_manat $mana para causar $p_dam dano-$effect e infligir $p_blind $blind por $p5 s.,$t[Al golpear:] $chance % de probabilidad de $stun[aturdir] al rival durante $p1 s. Usa $p_manat $mana para infligir $p_dam de daño $effect e infligir $p_blind $blind durante $p5 s.
<!MissingKey:8:$red[$affected items trigger $p_speed% slower.] $t[Start of battle:] Gain $p_maxhealth_base% maximum health + $p_maxhealth_item% per $affected item. $t[After $cds:] Awaken hidden $s[sloth powers$s]!>,$red[$affected items trigger $p_speed% slower.] $t[Start of battle:] Gain $p_maxhealth_base% maximum health + $p_maxhealth_item% per $affected item. $t[After $cds:] Awaken hidden $s[sloth powers$s]!,$red[$affected Gegenstände aktivieren $p_speed% langsamer.] $t[Kampfbeginn:] Erhalte $p_maxhealth_base% Maximalleben + $p_maxhealth_item% pro \~$affected Gegenstand. $t[Nach $cds:] Erwecke geheime $s[Faultierkräfte$s]!,$red[$affected的物品触发速度慢$p_speed%。]$t[战斗开始时：]获得$p_maxhealth_base%最大生命值，每有一个$affected的物品额外获得$p_maxhealth_item%。$t[$cds后：]唤醒隐藏的$s[树懒之力$s]！,$red[$affectedにあるアイテムの使用速度が$p_speed%下がる]$t[バトル開始時：]体力最大値が$p_maxhealth_base%増える（$affectedにあるアイテム1個につき +$p_maxhealth_item%）$t[$cd秒後：]秘められし$s[ナマケモノの力$s]が覚醒する！,$red[$affected에 위치한 아이템이 $p_speed% 느리게 발동합니다]. $t[전투 시작 시:] 최대 체력을 $p_maxhealth_base% 획득하고 $affected에 위치한 아이템마다 추가로 $p_maxhealth_item% 획득합니다. $t[$cd초 후:] 숨겨진 $s[나무늘보의 힘$s]을 깨우칩니다!,$red[$affected的物品觸發速度慢$p_speed%。]$t[戰鬥開始時：]獲得$p_maxhealth_base%最大生命值，每有一個$affected的物品額外獲得$p_maxhealth_item%。$t[$cds後：]喚醒隱藏的$s[樹懶之力$s]！,$red[Les objets $affected se déclenchent $p_speed % moins vite.] $t[Au début du combat :] gagnez $p_maxhealth_base % de PV max + $p_maxhealth_item % par objet $affected. $t[Après $cd s :] éveillez la $s[puissance de la paresse$s] cachée !,$red[$affected предметы срабатывают на $p_speed% реже.] $t[Начало боя:] добавляет $p_maxhealth_base% макс. здоровья + $p_maxhealth_item% за каждый$affected предмет. $t[Через $cd сек.:] пробуждает тайную $s[силу ленивца$s]!,$red[Itens $affected ativam $p_speed% mais devagar.] $t[Início da batalha:] Ganha $p_maxhealth_base% de vida máxima + $p_maxhealth_item% por cada item $affected. $t[Após $cd s:] Desperta $s[poderes de preguiça $s] ocultos!,$red[Los $affected objetos se activan un $p_speed % más lento.] $t[Al comienzo de la batalla:] Obtiene un $p_maxhealth_base % de PS máx. + $p_maxhealth_item % por $affected objeto. $t[Tras $cd s:] ¡Despierta los $s[poderes de la pereza$s] ocultos!
UI_DMG_NR_2,Items,Gegenstände,物品,アイテム,아이템,物品,Objets,Предметы,Itens,Objetos
