key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:0:The devious Reaper is specialized in damage over time effects and different afflictions. {items}>,The devious Reaper is specialized in damage over time effects and different afflictions. {items},"Eine echte Sensenfrau beherrscht eine Vielzahl hinterlistiger Spielereien. Na gut, meistens geht es um Gift.  {items}",心怀诡计的收割者擅长使用各种折磨方式造成持续性伤害。{items},ひとクセある死神。さまざまな特殊効果の付与により時間経過でダメージを与えるのが得意。 {items},교활한 리퍼는 지속적인 피해와 다양한 고통을 주는 것에 특화되어 있습니다. {items},艱險狡詐的死神擅長使用各種折磨人的方式造成持續性傷害。{items},"La spécialité des Nécromanciens, réputés pour leur sournoiserie, repose sur les effets de dégâts sur la durée ainsi que sur diverses afflictions. {items}","Жнец отличается коварностью и специализируется на негативных эффектах, наносящих постоянный урон. {items}",A Ceifadora perversa é especialista em efeitos de dano contínuo e diversas aflições. {items},La perversa nigromante se especializa en causar daño continuo con diversos efectos. {items}
<!MissingKey:1:Battle Rage>,Battle Rage,Kampfrausch,狂战士之怒,バーサク,전투 격노,戰鬥狂怒,Rage de combat,Ярость,Fúria de Combate,Rabia de batalla
<!MissingKey:2:Crusader>,Crusader,Kreuzritter,十字军,クルセイダー,성전사,十字軍,Croisé,Крестоносец,Cruzada,Paladín
RARITY_Epic,Epic,Episch,史诗,エピック,영웅,史詩,Épique,Эпический,Épico,Épico
<!MissingKey:4:Weapons deal $h[+1] damage.>,Weapons deal $h[+1] damage.,Waffen verursachen $h[+1] Schaden. ,每层增加$h[1]点武器伤害。,1スタックにつき武器のダメージ $h[+1],무기 피해량이 $h[1] 증가합니다.,每層增加$h[1]點武器傷害。,Les dégâts de l'arme infligent $h[+1] de dégâts.,Урон оружия повышается $h[1] ед.,Armas causam $h[+1] de dano.,Las armas infligen $h[+1] de daño.
<!MissingKey:5:Spikes>,Spikes,Dornen,尖刺,トゲ,가시,尖刺,Pics,Шипы,Espinhos,Pinchos
<!MissingKey:6:Pack Leader>,Pack Leader,Rudelführer,头狼,ウルフコマンダー,무리 지도자,頭領,Chef de meute,Вожак стаи,Líder da Matilha,Líder de la manada
<!MissingKey:7:Lifebinder>,Lifebinder,Lebensbinder,生命缚誓者,ライフバインダー,생명술사,生命束縛者,Liaison vitale,Хранитель жизни,Ligavidas,Justiciera
<!MissingKey:8:Fire>,Fire,Feuer,火,火炎,화염,火焰,Feu,Огонь,Ígneo,Fuego
<!MissingKey:9:Spell Scroll>,Spell Scroll,Zauberrolle,魔法卷轴,呪文の巻物,주문 스크롤,魔法卷軸,Parchemin de sort,Свиток заклятия,Pergaminho de Feitiço,Pergamino de conjuros
