key,en,de,zh_Hans_CN,ja,ko,zh_Hant_TW,fr,ru,pt_BR,es
<!MissingKey:0:Perfect Topaz>,Perfect Topaz,Perfekter Topas,完美黄宝石,完璧なトパーズ,완벽한 토파즈,完美黃寶石,Topaze parfaite,Полированный топаз,Topázio Perfeito,Topacio perfecto
<!MissingKey:1:$h[Playing cards] are offered in the shop. $t[Start of battle:] Gain $p1 $lucky. Start revealing the $affected $h[Playing card].>,$h[Playing cards] are offered in the shop. $t[Start of battle:] Gain $p1 $lucky. Start revealing the $affected $h[Playing card].,"$h[Spielkarten] werden im Laden angeboten. $t[Kampfbeginn:] Erhalte $p1 $lucky. Beginne, die $affected $h[Spielkarte] aufzudecken.",$h[卡牌]将会在商店售出。$t[战斗开始时：]获得$p1点$lucky幸运。并开始翻开$affected的$h[卡牌]。,$h[ゲームカード]がショップで売られるようになる $t[バトル開始時：]$p1 $lucky を獲得する。$affectedにある$h[ゲームカード]をめくり始める,$h[플레잉 카드]가 상점에 등장합니다. $t[전투 시작 시:] $lucky을 $p1 획득합니다. $affected에 위치한 $h[플레잉 카드]를 공개합니다.,$h[卡牌]將會在商店售出。$t[戰鬥開始時：]獲得$p1點$lucky。開始翻開$affected的$h[卡牌]。,Des $h[Cartes à jouer] sont disponibles dans la boutique. $t[Au début du combat :] gagnez $p1 $lucky. Commencez à découvrir la $h[Carte à jouer] $affected.,$h[Карты] различных типов будут продаваться в магазине. $t[Начало боя:] добавляет $p1 $lucky. Раскроет $affected $h[карту].,$h[Cartas] são disponibilizadas na loja. $t[Início da batalha:] Ganhe $p1 $lucky. Começa a revelar a $h[Carta] $affected.,Las $h[Cartas de juego] se venden en la tienda. $t[Al comienzo de la batalla:] Obtiene $p1 $lucky. Empieza por revelar la $affected $h[Carta de juego].
<!MissingKey:2:$t[Out of stamina:] Consume this and regenerate $p1 stamina and gain $p2 $empower.>,$t[Out of stamina:] Consume this and regenerate $p1 stamina and gain $p2 $empower.,$t[Keine Ausdauer mehr:] Trinke aus und regeneriere $p1 Ausdauer und erhalte $p2 $empower.,$t[当耐力耗尽时：]消耗此魔药，恢复$p1点耐力并获得$p2层$empower。,$t[スタミナ不足時：]このアイテムを消費して、スタミナを$p1回復し、$p2 $empower を獲得する,"$t[스태미나 부족 시:] 포션을 소모해 스태미나를 $p1 회복하고, $empower를 $p2 획득합니다.",$t[當耐力耗盡時：]消耗此魔藥，恢復$p1點耐力並獲得$p2層$empower。,$t[Endurance épuisée :] consommez ceci et régénérez $p1 d'endurance et gagnez $p2 $empower.,"$t[Нет энергии:] расходуется, чтобы восстановить $p1 ед. энергии и добавить $p2 $empower.",$t[Sem vigor:] Consuma isto e restaura $p1 de vigor e ganhe $p2 $empower.,"$t[Sin resistencia:] Consume esto y regenera $p1 de resistencia, y obtiene $p2 $empower."
<!MissingKey:3:Yggdrasil Leaf>,Yggdrasil Leaf,Yggdrasilblatt,世界树树叶,ユグドラシルの葉,위그드라실 잎,世界樹樹葉,Feuille d'Yggdrasil,Лист Иггдрасиля,Folha da Yggdrasil,Hoja de Yggdrasil
<!MissingKey:4:$t[Opponent drops below $p1%:] Consume this and deal \~$p2 $effect-damage for each debuff of your opponent.>,$t[Opponent drops below $p1%:] Consume this and deal \~$p2 $effect-damage for each debuff of your opponent.,$t[Leben des Gegners fällt unter $p1%:] Trinke aus und verursache \~$p2 $effect-Schaden pro Debuff deines Gegners.,$t[当你对手的生命值降低到$p1%时：]消耗此魔药，对手每有一层减益效果，对其造成额外$p2点$effect伤害。,$t[相手の体力が$p1%未満に低下時：]このアイテムを消費して、相手のデバフ1スタックにつき$p2 $effect ダメージを与える,"$t[상대의 체력이 $p1% 아래로 떨어질 시:] 포션을 소모해, 상대에게 부여된 디버프마다 $effect 피해를 $p2 가합니다.",$t[當對手生命值降至$p1%時：]對手每有一層減益效果，對其造成額外$p2點傷害。,$t[PV de l'adversaire inférieurs à $p1% :] consommez ceci et infligez $p2 de dégâts $effect pour chaque malus de votre adversaire.,"$t[При здоровье противника ниже $p1%:] расходуется, чтобы нанести $p2 ед. $effect-урона за каждый негативный эффект на противнике.",$t[Oponente cai abaixo de $p1%:] Consome isto e causa $p2 de dano de $effect por cada debuff do oponente.,$t[Si la salud del rival cae por debajo del $p1 %:] Consume la poción e inflige $p2 de daño de $effect por cada desventaja del rival.
<!MissingKey:5:$t[Every $cds:] Heal for $p1 and \~regenerate $h[1] stamina.>,$t[Every $cds:] Heal for $p1 and \~regenerate $h[1] stamina.,$t[Alle $cds:] Heile um $p1 und regeneriere $h[1] Ausdauer.,$t[每$cds：]恢复$p1点生命和$h[1]点耐力。,$t[$cd秒毎：]体力を$p1回復し、スタミナを$h[1]回復する,"$t[$cd초마다:] 체력을 $p1, 스태미나를 $h[1] 회복합니다.",$t[每$cd秒：]恢復$p1點生命和$h[1]點耐力。,$t[Toutes les $cd s :] guérissez de $p1 et régénérez $h[1] d'endurance.,$t[Раз в $cd сек.:] исцеляет на $p1 ед. и восстанавливает $h[1] ед. энергии.,$t[A cada $cd s:] Restaura $p1 de vida e $h[1] de vigor.,$t[Cada $cd s:] Recupera $p1 PS y $h[1] de resistencia.
<!MissingKey:6:Ruby Egg>,Ruby Egg,Rubinei,红宝石龙蛋,ルビーエッグ,루비 알,紅寶石龍蛋,Œuf rubis,Рубиновое яйцо,Ovo de Rubi,Huevo rubí
<!MissingKey:7:$t[Start of battle:] Gain $p1 $heat. $t[On hit:] $chance% chance to gain \~$p2 damage. >,$t[Start of battle:] Gain $p1 $heat. $t[On hit:] $chance% chance to gain \~$p2 damage. ,"$t[Kampfbeginn:] Erhalte $p1 $heat. $t[Bei Treffer:] $chance% Chance, Schaden um $p2 zu erhöhen. ",$t[战斗开始时：]获得$p1层$heat。$t[击中对手时：]有$chance%的几率获得$p2点伤害加成。,$t[バトル開始時：]$p1 $heat を獲得する $t[ヒット時：]$chance%の確率でダメージ値が$p2増える,$t[전투 시작 시:] $heat를 $p1 획득합니다. $t[적중 시:] $chance%의 확률로 가하는 피해가 $p2 증가합니다.,$t[戰鬥開始時：]獲得$p1層$heat。$t[命中對手時：]有$chance%的機率獲得$p2點傷害加成。,$t[Au début du combat :] gagnez $p1 $heat. $t[Par coup :] $chance % de chance de gagner $p2 de dégâts.,$t[Начало боя:] добавляет $p1 $heat. $t[При попадании:] шанс $chance% повысить урон на $p2 ед.,$t[Início da batalha:] Ganhe $p1 $heat. $t[Ao acertar:] $chance% de chance de ganhar $p2 de dano.,$t[Al comienzo de la batalla:] Obtiene $p1 $heat. $t[Al golpear:] $chance % de probabilidad de ganar $p2 de daño.
<!MissingKey:8:Add $h[8] backpack slots. $t[Item inside activates:] $chance% chance to inflict $h[1] $poison.>,Add $h[8] backpack slots. $t[Item inside activates:] $chance% chance to inflict $h[1] $poison.,"Fügt $h[8] Rucksackplätze hinzu. 
 Wenn ein enthaltener Gegenstand aktiviert, verursachst du mit $chance% Chance $h[1] $poison.",增加$h[8]格背包槽位。$t[棺材内物品激活时：]将有$chance%的几率施加$h[1]层$poison。,バックパックのスロットを$h[8]追加する $t[中にあるアイテム発動時：]$chance%の確率で$h[1] $poison を付与する,배낭 슬롯을 $h[8]개 추가합니다. $t[내부에 위치한 아이템 발동 시:] $chance% 확률로 $poison을 $h[1] 부여합니다.,增加$h[8]格背包欄位。$t[棺材內物品發動時：]有$chance%的機率施加$h[1]層$poison。,Ajoutez $h[8] emplacements de sac à dos. $t[En activant les objets à l'intérieur :] $chance % de chance d'infliger $h[1] $poison.,Добавляет $h[8] слотов к рюкзаку. $t[Срабатывание предметов внутри:] шанс $chance% наложить $h[1] $poison.,Adiciona $h[8] espaços à mochila. $t[Ativação de item dentro dele:] $chance% de chance de infligir $h[1] $poison.,Añade $h[8] espacios a la mochila. $t[Al activarse el objeto dentro:] $chance % de probabilidad de infligir $h[1] $poison.
<!MissingKey:9:Ranger Bag>,Ranger Bag,Waldläufertasche,露营背包,レンジャーのカバン,레인저 가방,露營背包,Sac de rôdeur,Сумка лучника,Mochila de Arqueiro,Bolsa de explorador
